match_id,team_id,crossed_baseline,try_lft_auton_gears,try_cen_auton_gears,try_rgt_auton_gears,lft_auton_gears,cen_auton_gears,rgt_auton_gears,auton_highgoal,auton_lowgoal,teleop_gears,pickup_gears,dropped_gears,teleop_highgoal,teleop_lowgoal,caught_rope,hanging,comments
3,2612,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,TRUE,TRUE,
4,1189,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,TRUE,TRUE,
5,5538,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,TRUE,TRUE,
6,2145,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,TRUE,TRUE,knocked fuel out in autonomous
7,5203,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,TRUE,TRUE,rough time receiving gear 
8,4362,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,TRUE,TRUE,
9,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,TRUE,TRUE,moves pretty fast
10,51,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,FALSE,0,0,0,TRUE,TRUE,
11,5238,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,TRUE,TRUE,
12,3568,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,TRUE,FALSE,"didn't do anything, i think it got the rope though"
13,830,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,3,FALSE,0,0,0,TRUE,TRUE,"Pretty great, per usual. :D"
14,66,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,TRUE,TRUE,
15,6101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,TRUE,TRUE,
16,5235,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,FALSE,FALSE,
17,5538,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,FALSE,FALSE,
18,51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,2,FALSE,0,0,0,TRUE,TRUE,
19,5697,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,TRUE,FALSE,
20,5517,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,TRUE,0,0,0,TRUE,FALSE,
21,3707,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,1,FALSE,0,1,0,TRUE,TRUE,
22,1502,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,2,FALSE,0,0,0,FALSE,FALSE,
23,3536,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,FALSE,FALSE,
24,4384,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,1,FALSE,0,0,0,TRUE,FALSE,
25,1189,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,0,2,FALSE,0,0,0,TRUE,TRUE,
26,2612,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,3,FALSE,0,0,7,TRUE,TRUE,
27,3414,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,FALSE,FALSE,"spins in circles
tried to shoot but accuracy=0
"
28,4362,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,3,FALSE,0,0,0,TRUE,TRUE,fast
29,1502,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,1,FALSE,0,0,0,FALSE,FALSE,
30,5203,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,
31,5530,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,3,FALSE,0,0,0,TRUE,TRUE,
32,6101,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,
33,201,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,"got a gear stuck inside halfway through the match, couldn't do anything"
34,470,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,
35,3414,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,3,TRUE,0,0,0,TRUE,FALSE,
36,2145,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,FALSE,TRUE,
37,5235,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,TRUE,TRUE,
38,2612,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,FALSE,FALSE,
39,2834,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,TRUE,0,0,0,TRUE,TRUE,
40,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,4,FALSE,0,0,0,TRUE,TRUE,
41,6081,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,3,FALSE,0,0,0,FALSE,FALSE,
42,5517,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,1,FALSE,0,0,0,FALSE,FALSE,
43,6591,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,FALSE,FALSE,
44,27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,0,4,FALSE,0,0,0,TRUE,TRUE,DANG they were really good
45,201,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,3,FALSE,0,0,0,TRUE,TRUE,someone kept knocking them away from their peg
46,2834,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,3,FALSE,0,0,0,TRUE,TRUE,v good
