match_id,team_id,crossed_baseline,try_lft_auton_gears,try_cen_auton_gears,try_rgt_auton_gears,lft_auton_gears,cen_auton_gears,rgt_auton_gears,auton_highgoal,auton_lowgoal,teleop_gears,pickup_gears,dropped_gears,teleop_highgoal,teleop_lowgoal,caught_rope,hanging,comments
1,2834,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,FALSE,FALSE,
2,5238,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,TRUE,FALSE,slow reaction time from drivers
3,6591,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,TRUE,TRUE,
4,4840,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,1,0,0,FALSE,FALSE,
5,302,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,3,FALSE,0,0,0,TRUE,TRUE,
6,51,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,
7,5688,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,TRUE,TRUE,
8,3707,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,
9,27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,0,0,FALSE,0,12,0,TRUE,TRUE,"only shot from one spot, could shot, get gears and hang"
10,5697,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,FALSE,TRUE,
11,5517,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,FALSE,FALSE,
12,3641,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,1,0,0,TRUE,FALSE,
13,5695,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,FALSE,FALSE,
14,5530,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,FALSE,FALSE,
15,3641,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,FALSE,FALSE,
16,5203,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,FALSE,FALSE,couldn't/didn't grab the rope
17,830,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,3,FALSE,0,0,0,TRUE,TRUE,
18,4840,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,FALSE,FALSE,"looked confused and just stayed by the fuel w/o picking any up, battery didn't loook secure and can't climb."
19,1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,FALSE,0,0,0,TRUE,FALSE,super close but couldn't make it up there
21,51,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,was pretty fast to hang
22,4362,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,3,FALSE,0,0,0,TRUE,TRUE,noomed on the field. many fast much speed
23,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,1,TRUE,0,0,0,TRUE,TRUE,"not bad, heavily defended "
24,5704,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,TRUE,FALSE,not a great choice and hanging mechanism grabed good but broke under slight hanging pressure
25,470,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,3,TRUE,0,0,0,TRUE,TRUE,
26,302,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,2,FALSE,0,13,0,TRUE,TRUE,
27,5703,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,ehhhhhhhhhhhhhhhhhhhhh
28,4776,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,3,FALSE,0,0,0,TRUE,FALSE,fell off last second
29,2145,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,1,0,0,TRUE,TRUE,"not as good as us GOOOOOOOOOOO RATPACK!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
"
30,5523,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,TRUE,TRUE,
31,2612,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,5,FALSE,0,0,0,TRUE,TRUE,looked kool and did pretty do da diddaly good
32,6101,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,
33,3707,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,3,FALSE,0,0,0,TRUE,TRUE,
34,4362,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,3,2,FALSE,0,0,0,TRUE,TRUE,
35,1502,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,FALSE,0,0,0,FALSE,FALSE,got stuck after auton... then came back online then offline again
36,4384,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,FALSE,0,0,0,TRUE,TRUE,
37,5517,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,TRUE,0,0,0,TRUE,TRUE,
38,4776,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,
39,5523,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,TRUE,TRUE,
41,4384,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,1,FALSE,0,0,0,TRUE,TRUE,amazing loved it
42,4362,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,1,0,TRUE,TRUE,
43,470,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,
44,51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,TRUE,FALSE,
45,5695,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,FALSE,0,0,0,TRUE,TRUE,
46,66,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,TRUE,TRUE,
47,3568,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,
48,5502,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,TRUE,TRUE,
49,5530,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,TRUE,TRUE,
50,1502,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,
51,5203,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,4,FALSE,0,0,0,TRUE,TRUE,
52,6101,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,1,FALSE,0,0,0,TRUE,TRUE,
53,1189,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,
54,5688,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,"Not gonna lie, I was not paying attention during auton. They got blocked by some heavy defense during teleop."
55,3536,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,3,2,FALSE,0,0,0,TRUE,TRUE,
56,5703,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,3,FALSE,0,0,0,TRUE,FALSE,
57,4776,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,FALSE,0,0,0,TRUE,TRUE,
58,6081,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,3,FALSE,0,0,0,TRUE,TRUE,
59,5695,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,FALSE,FALSE,It stopped moving after 30 seconds
60,3568,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,TRUE,TRUE,
61,3641,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,3,TRUE,0,0,0,TRUE,TRUE,
62,5235,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,FALSE,FALSE,
63,4998,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,TRUE,FALSE,
64,5538,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0,TRUE,FALSE,
65,2145,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,0,0,TRUE,TRUE,
66,5703,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,1,FALSE,2,0,0,TRUE,TRUE,
67,5695,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,3,FALSE,0,0,0,TRUE,TRUE,
68,27,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,2,FALSE,0,6,0,TRUE,TRUE,
